time;RIS-RIS-QI01_TT;IPU-IPU-FB18;SAN-SAN3-FB01;SAN4-ANL1-QI02;SAN4-ANL1-QI01;SAN-SAN3-ML01;POL_FT04;IPU_LT01;PHA5-SED5-QI11;PHA5-SED5-QI01;
15-02 05;8,814229608;2402,32929;520,8273817;295,6975924;7,651661652;35,09999847;2,851635862;3,638718723;24,60860628;25,45102986
15-02 06;8,83439523;2791,597856;577,6887761;308,6260119;7,672691491;35,09999847;3,150666548;3,525373775;23,89185855;24,66100298
15-02 07;8,836729491;2928,119828;611,8420309;253,4766914;7,722912193;35,09999847;3,331888793;3,274293031;23,04590151;24,44999029
15-02 08;8,685424488;2994,664674;620,3875984;234,5469499;7,851111285;35,09999847;3,381304739;2,876977979;22,13792712;23,45891051
15-02 09;8,388247189;2422,522882;519,8501146;308,1962433;7,906460228;35,09999847;2,835049698;2,489508502;22,764361;22,67041302
15-02 10;8,201999335;2443,718381;529,6578609;392,5282148;7,914999313;35,09999847;2,889106589;2,480257109;23,31551704;24,33148974
15-02 11;8,040776486;2307,540429;491,7094699;30,92693764;7,902194567;35,09999847;2,684494688;2,638177419;23,65148889;20,69033202
15-02 12;7,880604129;3137,888712;645,9797213;144,7791599;7,904658279;35,09999847;3,514202726;2,597450096;24,05133696;18,60060848
15-02 13;7,860383442;3115,359395;640,0444117;252,9170167;7,971327432;35,09999847;3,490294805;2,388392202;23,60235387;16,95499215
15-02 14;8,069661015;3100,612259;622,1531321;298,270155;8,207552579;35,09999847;3,558352863;2,311600444;22,90816168;16,96395062
15-02 15;8,250694953;2946,775692;615,9284943;287,0694848;8,04540785;35,09999847;3,535267377;2,144457264;23,70408381;18,09771678
15-02 16;8,639503309;2570,507286;550,9282769;304,7560121;8,033523409;35,09999847;3,154937534;2,20146746;24,32838349;15,99692296
15-02 17;9,175960523;2558,465131;534,44543;331,9063822;7,941694289;35,09999847;3,217476619;2,402482541;26,18760991;14,54214971
15-02 18;9,238732931;2633,515989;556,0797689;351,6348397;7,904362388;35,09999847;3,340991357;2,492308544;27,72704011;14,66445022
15-02 19;9,33656143;2470,290313;521,6615011;350,1029049;7,916386309;35,09999847;3,142005836;2,40637043;28,29431011;16,00524768
15-02 20;9,38622364;2306,604156;484,9581977;333,9252654;7,883732991;35,09999847;2,918256622;2,376909176;28,01113628;16,8537804
15-02 21;9,390940952;2142,562627;451,6531276;310,2160353;7,921246978;35,09999847;2,836504572;2,384582658;27,90343083;18,81138583
15-02 22;9,281518966;2202,901896;455,827525;340,1520804;7,848952927;35,09999847;2,863258997;2,500124692;27,86102114;20,51021055
15-02 23;9,13293079;2417,340781;505,2924184;338,7198765;7,863052811;35,09999847;3,165610611;2,628898987;27,87857898;21,49390474
16-02 00;9,130106284;2762,906515;571,2941776;330,0993992;7,832551235;35,09999847;3,428507074;2,766717586;27,5124253;23,39232103
16-02 01;9,320624583;2797,792784;568,5445646;338,9722714;7,764783836;35,09999847;3,41156693;2,864583161;27,68058842;23,58290865
16-02 02;9,706587346;2801,374778;579,175407;321,9362561;7,789341362;35,09999847;3,320380716;2,976632802;26,9458013;25,19757356
16-02 03;9,94511283;2803,514;566,4022244;327,4615688;7,807338395;35,09999847;3,248825198;3,009578258;26,16154425;25,97016243
16-02 04;10,04938636;2804,168768;583,3543037;314,7892381;7,841206395;35,09999847;3,324831827;3,006920028;26,05601865;24,89453908
16-02 05;10,06309142;2799,478359;579,6792204;310,3422135;7,872413043;35,09999847;3,17108217;2,906145395;25,89739183;25,47223703
16-02 06;10,08854659;2959,783518;613,3931073;288,5713613;7,88859013;35,09999847;3,346670499;2,698341591;25,45179543;25,69186357
16-02 07;10,01766057;2982,010761;604,200449;246,2113706;7,916015801;35,09999847;3,305743432;2,389034248;25,11678403;24,8759841
16-02 08;9,83503585;2863,21437;610,0267536;233,9968164;8,088483166;35,09999847;3,347643085;1,872673505;24,04751005;23,80803385
