;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"04-03 04";0,1402355;-0,580108;-0,5121107;0,01274;-0,8699467;-0,1486008;-0,5905556;-0,08314039;0,2533194;0,462163
"04-03 05";0,2368658;-0,6024297;-0,5190953;-0,3891041;-0,739625;-0,1486008;-0,7971891;-0,1115449;0,3903041;0,316417
"04-03 06";0,3081428;-0,6740232;-0,5504003;-0,3768227;-0,74552;-0,1486008;-0,8592575;-0,1393551;0,2689562;0,3731629
"04-03 07";0,1666798;-0,7333543;-0,549013;-0,4460613;-0,5874002;-0,1486008;-0,8408489;-0,1301943;0,2327983;0,2169901
"04-03 08";-0,2360734;-0,6619393;-0,5879025;-0,6648664;-0,6369942;-0,1486008;-0,8921546;-0,0899683;0,05139921;0,189487
"04-03 09";-0,3080467;-0,4292858;-0,4421567;-0,6262487;-0,7650566;-0,1486008;-0,7016332;-0,04680881;0,08013221;0,1744175
"04-03 10";-0,2704439;-0,8357883;-0,6181248;-0,5628625;-0,2599248;-0,1486008;-0,9263883;-0,2300153;0,09878724;0,05723953
"04-03 11";0,1079857;-1,553844;-1,055921;-0,3621041;-0,4097259;-0,1486008;-1,529699;-0,315575;0,09054103;-0,04961284
"04-03 12";0,06166031;-1,167074;-0,8438034;-0,09374999;-0,8709548;-0,1486008;-1,259242;-0,04542759;0,1493005;-0,009572623
"04-03 13";-0,3396827;-0,5963341;-0,5377727;-0,1625212;0,07414625;-0,1486008;-0,8183897;0,08757615;0,1268074;-0,08616646
"04-03 14";-0,755053;-0,1223303;-0,3349611;-0,4113852;-0,1358341;-0,1486008;-0,3458133;0,0853537;0,324578;-0,04544201
"04-03 15";-0,5581489;0,4557733;-0,120019;-0,2608161;0,6174219;-0,1486008;-0,01995065;0,08273428;0,3513303;-0,08229806
"04-03 16";-0,4535987;0,8481739;0,1774562;0,181779;0,3382965;-0,1486008;0,3809334;0,06843993;0,2842296;-0,1252854
"04-03 17";-0,09801497;0,8474413;0,1335692;0,6027946;-0,1477706;-0,1486008;0,5516382;-0,05540719;0,1257016;-0,08313994
"04-03 18";0,4592844;0,6281471;0,04278912;0,9404564;-0,5231563;-0,1486008;0,4378923;-0,1810161;0,3054022;0,0216776
"04-03 19";0,8132111;-0,4175945;-0,3428485;0,735234;-0,3286622;-0,1486008;-0,1311623;-0,426395;0,5213706;0,2922171
"04-03 20";0,9240297;-0,9087828;-0,6805677;0,5358211;-0,8595117;-0,1486008;-0,642334;-0,3145535;0,5941995;0,3216175
"04-03 21";0,945221;-0,7457001;-0,6125805;0,3557382;-0,7469928;-0,1486008;-0,3512559;-0,1267788;0,5797865;0,4522282
"04-03 22";0,5147723;-0,180068;-0,3366362;-0,06665579;-1,534417;-0,1486008;0,07644022;0,04695814;0,5701336;0,6964704
"04-03 23";-0,006185087;-0,00220277;-0,1787866;0,06084504;-0,5127499;-0,1486008;0,3269607;-0,02307367;0,4327026;0,5472378
"05-03 00";-0,114355;-0,2984913;-0,3527377;0,2297682;-0,6668158;-0,1486008;-0,1483239;-0,1851064;0,1436796;0,4716401
"05-03 01";0,432999;-1,126011;-0,7300639;0,04369322;-0,628647;-0,1486008;-0,7178395;-0,3591041;0,03971808;0,2327041
"05-03 02";0,6012301;-1,30903;-0,941534;-0,02824654;-0,4290265;-0,1486008;-1,194112;-0,2206553;-0,1591904;0,07150454
"05-03 03";0,3251069;-1,129416;-0,9073971;-0,2274012;-0,552009;-0,1486008;-1,150876;-0,09257368;-0,143267;0,267816
"05-03 04";-0,4417382;-1,065655;-0,7241342;-0,2682611;-0,6027256;-0,1486008;-0,8961201;-0,08163465;0,04395495;0,2293282
"05-03 05";-0,05078599;-0,8873689;-0,6552773;-0,3363704;-0,7327935;-0,1486008;-0,9955642;-0,04416317;0,3253117;0,2410586
