;"RIS-RIS-QI01_TT";"IPU-IPU-FB18";"SAN-SAN3-FB01";"SAN4-ANL1-QI02";"SAN4-ANL1-QI01";"SAN-SAN3-ML01";"POL_FT04";"IPU_LT01";"PHA5-SED5-QI11";"PHA5-SED5-QI01"
"09-03 23";-0,7529379;0,1350257;0,7558545;0,3995268;0,2735951;1,808928;1,775776;-0,1534535;1,106621;1,474805
"10-03 00";-0,6370171;0,3226093;0,919774;0,6838691;0,7929691;1,808928;1,737984;-0,30787;0,856967;1,443789
"10-03 01";-0,2616998;-0,6212362;0,2565869;0,4678937;0,5730078;1,808928;0,736508;-0,6376546;0,6922213;1,247871
"10-03 02";0,150084;-0,5865393;0,1851921;0,2644522;-0,01306255;1,808928;0,3921179;-0,4330506;0,536945;1,16787
"10-03 03";0,5920883;-0,3522914;0,3545696;0,2860532;-0,2358945;1,808928;0,628596;-0,3654308;0,6258054;1,210241
"10-03 04";1,027941;-0,8012152;0,1589148;0,01624768;-0,210992;1,808928;0,3469157;-0,5261657;0,7359138;1,104139
"10-03 05";0,5977922;-1,054427;-0,1262579;-0,06872402;-0,4376599;1,808928;-0,2769201;-0,5136694;0,6876193;0,8237001
"10-03 06";0,4573868;-1,433487;-0,367061;-0,3588902;0,09732567;1,808928;-0,5962232;-0,5518021;0,649748;0,6998748
"10-03 07";0,2259692;-1,495715;-0,4248549;-0,2841468;-0,06515189;1,808928;-0,6759918;-0,4437399;0,5975088;0,644887
"10-03 08";-0,02637594;-0,386398;0,4299383;-0,7831726;-1,704095;1,808928;0,4595462;-0,9170862;0,4556843;0,6788663
"10-03 09";-0,4849823;-1,226008;-0,3350759;-0,5567759;1,227236;1,808928;-0,5526077;-1,190399;0,5044345;0,7021768
"10-03 10";-0,8210588;-1,010999;-0,005716868;-0,540379;1,747586;1,808928;-0,1208574;-1,184276;0,3918601;0,7492607
"10-03 11";-1,089161;-0,444829;0,2598583;-0,3983198;1,465158;1,687683;0,1874428;-1,089691;0,4365473;0,6582749
"10-03 12";-0,8737971;-0,4050721;0,1531593;-0,2076279;2,286104;1,361493;0,09080768;-0,6105611;0,6320665;0,5063182
"10-03 13";-0,7372925;0,1107758;0,5369205;-0,2614875;2,091739;1,361493;0,6105407;-0,3339112;0,6718225;0,4343922
"10-03 14";-0,6339396;0,3279769;0,6423281;-0,07569149;2,025882;1,361493;0,8383737;-0,3322844;0,5549467;0,4622027
"10-03 15";-0,2881099;0,100159;0,5083954;0,06900813;2,630077;1,361493;0,8536921;-0,4544432;0,4918335;0,4524277
"10-03 16";0,1041969;0,02760666;0,2914466;1,159667;1,612485;0,971761;0,5442778;-0,4441682;0,5296362;0,2109879
"10-03 17";0,3346997;-0,01761493;0,0666179;0,987437;1,464271;0,3827288;0,4725286;-0,4288307;0,9699496;0,3541077
"10-03 18";0,3375136;-0,3376308;-0,09751981;0,70169;1,503588;0,3827288;0,229766;-0,5221344;1,236467;0,623996
"10-03 19";0,3833674;-0,8636596;-0,4791682;0,7020019;1,299263;0,3827288;-0,3381507;-0,5812576;1,291556;0,6377567
"10-03 20";0,4589668;-1,138526;-0,5889578;0,5796621;0,8521617;0,3827288;-0,4989952;-0,5387984;1,297937;0,7911747
"10-03 21";0,2914105;-1,397099;-0,7562101;0,4166641;0,8067037;0,3827288;-0,5616681;-0,5088305;1,286696;0,9134594
"10-03 22";-0,2355716;-1,057092;-0,5606354;0,5245546;0,7115552;0,3827288;-0,2732747;-0,3258425;1,245959;1,04495
"10-03 23";-0,6203713;-0,3136605;-0,1705185;0,5649725;0,3825104;0,3827288;0,3330741;-0,1730752;1,182052;1,081018
"11-03 00";-0,6088316;0,2179215;0,1366291;0,4226026;0,3876225;0,3827288;0,5698943;-0,2048355;1,022455;1,292531
"11-03 01";-0,372609;0,09448379;0,1984149;0,5176938;0,2032918;0,3827288;0,6664813;-0,3832235;0,8562384;1,372609
"11-03 02";0,3043492;-0,2062356;-0,03878408;0,3323046;-0,05706913;0,3827288;0,07004634;-0,4891782;0,5194388;1,207796
"11-03 03";0,3413898;-0,6926159;-0,2954667;0,1332199;0,2697414;0,3827288;-0,2889026;-0,5692858;0,4239605;1,101079
"11-03 04";0,03976876;-0,9643407;-0,5605501;-0,02778952;0,1098055;0,3827288;-0,674154;-0,5217662;0,4010931;0,9843937
"11-03 05";-0,2251467;-1,381811;-0,764948;-0,2255894;0,2196468;0,3827288;-1,136291;-0,5747955;0,3904067;0,8996751
"11-03 06";-0,3555567;-1,692343;-0,9761193;-0,17624;0,4964342;0,3827288;-1,422904;-0,5288728;0,3759739;0,8353366
"11-03 07";-0,2816207;-1,807828;-1,080657;-0,2675403;0,488927;0,3827288;-1,569289;-0,4869628;0,2928666;0,8042742
"11-03 08";-0,3216968;-1,655825;-0,9544107;-0,1577104;0,3919731;0,3827288;-1,396212;-0,3699354;0,2114076;0,7005216
"11-03 09";-0,525695;-1,5136;-0,8653327;-0,4858914;0,9485615;0,3827288;-1,267766;-0,356182;0,3853226;0,6361691
"11-03 10";-0,7990735;-1,39333;-0,7697163;-0,4829328;0,8615136;0,3827288;-1,146519;-0,3413151;0,4599285;0,6053203
"11-03 11";-0,9423913;-1,210852;-0,7104812;-0,5819318;1,294901;0,3827288;-1,064468;-0,3295449;0,4454603;0,6613747
"11-03 12";-0,9380935;-0,7813274;-0,463609;-0,4140145;1,115036;0,3827288;-0,7368016;-0,2472839;0,4192354;0,5021071
"11-03 13";-0,8585044;-0,1424876;-0,05130628;-0,1578858;0,9187043;0,3827288;-0,1740118;-0,1889673;0,3536338;0,4165282
"11-03 14";-0,786404;0,2368562;0,1829551;0,09708683;1,274632;0,3827288;0,3909578;-0,2482197;0,4010025;0,4152055
"11-03 15";-0,7786024;0,2101132;0,1139263;0,8810236;0,7911817;0,3827288;0,2827153;-0,3661417;0,3713164;0,4611311
"11-03 16";-0,526759;-0,1470097;0,07114466;1,547152;0,4393293;0,3827288;0,2325076;-0,4972626;0,3175793;0,4439749
"11-03 17";-0,265002;-0,2293875;-0,0887341;2,42346;-0,1225714;0,3827288;0,236269;-0,4436612;0,6303042;0,4523221
"11-03 18";-0,027713;-0,08703899;0,0177886;1,569255;0,1961742;0,3827288;0,4000795;-0,3756869;0,9459899;0,5957046
"11-03 19";-0,01930636;-0,1151764;-0,03155004;0,967715;0,5072374;0,3827288;0,3208981;-0,4014347;1,042784;1,08126
"11-03 20";0,173508;-0,497513;-0,295488;1,17386;-0,2621054;0,3827288;-0,06688257;-0,5391916;1,156935;1,204325
"11-03 21";0,4550969;-1,104487;-0,6038981;0,6355552;-0,1430339;0,3827288;-0,3424107;-0,6043844;1,143722;1,150063
"11-03 22";0,398815;-1,2921;-0,682646;0,5598572;-0,08179288;0,3827288;-0,448988;-0,5013463;1,032601;1,182857
"11-03 23";0,009095809;-0,8818653;-0,4539469;0,4896798;-0,1712324;0,3827288;-0,1035617;-0,3059928;0,9281675;1,333743
"12-03 00";-0,2544206;-0,2748106;-0,1031084;0,3858702;-0,4809443;0,3827288;0,2218207;-0,2036668;0,6811665;1,343021
"12-03 01";-0,1400458;0,1076227;0,1681686;0,4291002;-0,4578864;0,3827288;0,6015926;-0,25484;0,6467275;1,325792
"12-03 02";0,125882;-0,3605018;-0,1551547;0,2020591;-0,3023405;0,3827288;-0,07974388;-0,5141085;0,3353221;0,9328477
"12-03 03";0,3682993;-0,7459973;-0,3773549;0,1766698;-0,3189672;0,3827288;-0,3985353;-0,5268477;0,08090895;0,8369404
"12-03 04";0,3665748;-1,036348;-0,5121696;-0,08471245;-0,1879985;0,3827288;-0,5860756;-0,5296902;0,05044279;0,846622
"12-03 05";-0,04110582;-1,379381;-0,8054569;-0,3075596;0,00276337;0,3827288;-1,186126;-0,5479864;0,1129852;0,7151712
"12-03 06";-0,2106931;-1,594038;-0,8624802;-0,4238945;-0,09213497;0,3827288;-1,281235;-0,5018185;0,09233299;0,6986086
"12-03 07";-0,2387189;-1,437559;-0,7072629;-0,2895225;-0,2391334;0,3827288;-1,056934;-0,3843056;0,05199738;0,6762798
"12-03 08";-0,4657347;-1,548226;-0,813475;-0,5190326;0,1431769;0,3827288;-1,202624;-0,4457873;-0,0001993902;0,5940566
"12-03 09";-0,8425342;-1,638427;-0,8729116;-0,6622435;0,3755144;0,3827288;-1,288392;-0,4440458;0,1622266;0,5713247
"12-03 10";-1,203525;-1,650327;-0,9226043;-0,5961928;0,4795394;0,3827288;-1,341951;-0,425913;0,1121314;0,499596
"12-03 11";-1,650648;-1,599919;-0,9027548;-0,6286462;0,5297233;0,3827288;-1,329965;-0,3817807;0,08910112;0,3649191
"12-03 12";-1,572158;-1,022324;-0,802217;-0,4998889;0,4499181;0,3827288;-1,194784;-0,2260654;0,1388479;0,3162951
"12-03 13";-1,446416;-0,4693494;-0,2346838;-0,5162089;0,6348172;0,3827288;-0,4133699;-0,1912707;0,2335977;0,3188554
"12-03 14";-1,192498;0,05912745;0,1223812;-0,05539484;0,03297454;0,3827288;0,3059497;-0,2070755;0,3592496;0,4670114
"12-03 15";-0,985752;0,02444501;0,1503924;0,04424004;1,069864;0,3827288;0,3449055;-0,3724198;0,385312;0,6059391
"12-03 16";-0,7843381;-0,2799943;-0,1186338;0,461782;0,6060681;0,3827288;-0,03484432;-0,4705991;0,2920128;0,5543703
"12-03 17";-0,6449497;-0,2441398;-0,1130332;1,005563;0,6091782;0,3827288;0,2077874;-0,4253601;0,5682365;0,5398565
"12-03 18";-0,3141881;-0,0860092;0,06909226;0,7179505;0,9922535;0,3827288;0,4814604;-0,3584463;0,7554321;0,6277615
"12-03 19";0,03667066;-0,3833465;-0,09861691;0,9403848;-0,05654719;0,3827288;0,225947;-0,4939606;0,8287824;0,826319
"12-03 20";0,4104579;-0,7299108;-0,3480958;0,6936533;0,113148;0,3827288;-0,143301;-0,5158616;1,06408;1,12922
"12-03 21";0,5551778;-0,7498383;-0,3935783;0,5925778;-0,1941652;0,3827288;0,004876495;-0,4478981;1,170523;1,146911
"12-03 22";0,3782383;-0,4256169;-0,1852975;0,6217183;-0,6728323;0,3827288;0,3227163;-0,3066449;1,17406;1,324512
"12-03 23";0,2052623;0,09700001;0,1533791;0,4742971;-0,4777484;0,3827288;0,8375981;-0,2370796;1,094286;1,449132
"13-03 00";0,1266506;-0,04768226;0,003930394;0,5443963;-0,7538172;0,3827288;0,3759047;-0,4174946;0,8064186;1,457738
"13-03 01";0,320505;-0,2972587;-0,08479621;0,6588387;-0,1175308;0,3827288;0,2469729;-0,4743989;0,6407984;1,383657
"13-03 02";0,5043759;-0,3490896;-0,1761416;0,3177736;-0,4210474;0,3827288;-0,1148963;-0,4385647;0,4396323;1,428661
"13-03 03";0,2905974;-0,3525705;-0,1912023;0,3447066;-0,7829774;0,3827288;-0,1371873;-0,4199497;0,3525079;1,304641
"13-03 04";0,4566293;-0,564755;-0,2094173;0,03365668;-0,5268313;0,3827288;-0,1642697;-0,4877947;0,3651714;1,257815
"13-03 05";0,4965108;-1,101867;-0,502328;0,02408245;-0,4296343;0,3827288;-0,7778756;-0,5795439;0,267747;1,113044
"13-03 06";0,382918;-1,283671;-0,694073;-0,3668092;-1,067805;0,3827288;-1,036216;-0,4954261;0,1247671;1,01328
"13-03 07";0,2694109;-1,358564;-0,713442;-0,2078868;-0,730073;-0,1287296;-1,068445;-0,4675644;0,09306555;1,063302
"13-03 08";-0,124795;-0,411455;-3,331987;-0,3057339;0,4240074;-5,196229;-4,873671;-1,046067;-3,371822;-1,806148
"13-03 09";-0,3222089;-1,230761;-1,816208;-0,4205361;0,7125847;-1,514896;-2,694705;-1,210402;-1,439263;-0,01219386
"13-03 10";-0,8974537;-1,264912;-0,5999028;-0,602027;1,587804;0,4106931;-0,9221312;-1,18024;0,2166805;0,9709817
"13-03 11";-1,313933;-0,7718845;-0,2793629;-0,4055741;1,530764;0,4106931;-0,4740674;-1,167409;0,0879968;0,7687497
"13-03 12";-1,182204;-0,8074445;-0,3315997;-0,230064;1,636079;0,4106931;-0,5495592;-0,702757;0,03820294;0,0200503
