RIS-QI01_TT;IPU-FB18;SAN3-FB01;ANL1-QI02;ANL1-QI01;SAN3-ML01;POL_FT04;IPU_LT01;SED5-QI11;SED5-QI01
8,4867957;3230,389224;535,7502562;302,9400624;8,013587165;31,89999962;3,188371411;2,595043137;23,31426;10,83714954
8,485606506;3231,14869;547,9682142;300,4867764;8,01626887;31,89999962;3,265523632;2,595246063;23,31426;10,8937984
8,485598572;3234,110284;559,8530112;298,4271273;8,011525631;31,89999962;3,331858851;2,59130186;23,43480918;11,32031842
8,486396393;3214,978109;569,1692263;301,2889547;8,010472774;31,89999962;3,420594635;2,583387125;23,46151;11,2467023
8,486790344;3207,377159;575,1036131;309,090826;8,007638983;31,89999962;3,435000351;2,581154131;23,46151;11,29349293
8,487188461;3224,080377;573,3050504;315,5771275;8,004945832;31,89999962;3,452621384;2,580449801;23,46151;11,07371229
8,487983704;3227,160451;571,553205;317,3285332;7,995621663;31,89999962;3,464558392;2,58076447;23,46151;10,99521509
8,483221176;3234,853072;570,4490786;316,5203204;7,99228306;31,89999962;3,474040903;2,583413946;23,46151;11,69270209
8,485601944;3232,875939;566,4867699;314,402714;7,992230927;31,89999962;3,414678661;2,587661063;23,46151;10,99829116
8,486394806;3236,102353;561,2631894;313,5607578;7,991476353;31,89999962;3,397243863;2,590280467;23,46151;10,54159489
8,487188461;3241,525967;554,4588221;315,2694598;7,988736172;31,89999962;3,377192668;2,594935332;23,46151;10,65607851
8,485267303;3245,832942;551,8712989;312,9719874;7,987635436;31,89999962;3,325977333;2,594705938;23,46151;11,14568626
8,48593956;3241,416325;550,9595654;309,2565376;7,987927026;31,89999962;3,320889011;2,589701279;23,59169808;11,28919241
8,486874054;3230,989095;546,5924135;301,8539734;7,985560571;31,89999962;3,220515406;2,585100744;23,6369877;11,48239188
8,485920914;3230,383198;545,8491005;301,8539734;7,985519409;31,89999962;3,290001288;2,578323667;23,6369877;11,28896676
8,486794708;3217,651462;546,8831891;301,8539734;7,985519409;31,89999962;3,278463675;2,563577119;23,6369877;11,513242
8,487190247;3201,66069;546,001236;301,8539734;7,985519409;31,89999962;3,238446346;2,549658688;23,6369877;11,44722315
8,485706482;3183,594919;550,2587614;301,8539734;7,985519409;31,89999962;3,313509488;2,543811214;23,6369877;11,21033513
8,481131607;3187,341019;550,2867691;301,8539734;7,985519409;31,89999962;3,30416845;2,549264948;23,6369877;11,26790709
8,487586777;3205,418812;554,3738172;301,8539734;7,985519409;31,89999962;3,272055285;2,550848902;23,6369877;11,02909703
8,486002045;3204,692441;566,8375622;264,4136316;8,04516967;31,89999962;3,3946875;2,552773665;23,6369877;10,98927036
8,485603729;3203,90691;578,2969667;272,3683916;8,067863523;31,89999962;3,462417824;2,553427772;23,6369877;10,59504964
8,487323944;3206,809911;589,2428413;273,8972749;8,091981585;31,89999962;3,495196926;2,559694289;23,83791209;11,03681379
8,485467651;3252,582735;595,4034548;278,0174908;8,11048413;31,89999962;3,52331144;2,569006868;23,91135561;11,43311679
8,486797684;3238,794779;595,0972684;286,2517743;8,118846598;31,89999962;3,58848103;2,572753575;23,91067358;11,0049373
8,482428909;3226,32788;592,1775031;288,299085;8,12348629;31,89999962;3,550085754;2,567340969;23,91628657;10,80151119
8,48480809;3209,264813;587,6904524;294,7816975;8,121739447;31,89999962;3,576835973;2,562658165;23,9110219;10,98456891
8,485372238;3226,329902;577,410416;299,5120691;8,11329852;31,89999962;3,483699401;2,55463816;23,91893045;11,15021977
8,4818479;3216,215448;569,1296768;314,048168;8,093571761;31,89999962;3,459498668;2,548560742;23,91064755;10,91373598
8,48440918;3213,971969;559,5749008;318,9003115;8,078463287;31,89999962;3,349205961;2,550508748;23,90928379;10,63104607
8,483615921;3206,218981;549,3289008;321,4423587;8,062559234;31,89999962;3,356908712;2,551095581;23,90665833;10,89032054
8,48480809;3227,803373;541,2478556;328,9222727;8,056902768;31,89999962;3,281069281;2,549200938;23,90929519;10,65230493
8,482038132;3229,747166;534,745454;329,3327233;8,056330587;31,89999962;3,235852743;2,538499336;23,90665072;10,69969278
8,482420578;3182,572874;525,2263915;325,1270661;8,055839131;31,89999962;3,195961197;2,524133178;23,89947736;11,19261406
8,484826935;3167,258323;520,3296247;324,4876655;8,060706679;31,89999962;3,106031513;2,506922935;23,89929093;10,53374387
8,485606903;3160,164144;519,2322473;320,6760856;8,05907314;31,89999962;3,142655877;2,503074077;23,90092725;10,32525803
8,485603531;3158,124318;522,5147447;313,4039113;8,063834974;31,89999962;3,099018694;2,4936858;23,90402;10,33795649
8,485602737;3143,361059;529,1795998;306,6632669;8,073236251;31,89999962;3,15473107;2,478761188;23,90402;10,51865028
8,484412155;3139,923456;535,0993839;301,7587125;8,082889421;31,89999962;3,216144388;2,467779434;23,90402;10,93018723
8,487191833;3122,628983;543,9418387;297,66857;8,096908591;31,89999962;3,226294632;2,473525715;23,90093172;11,17149252
8,484306144;3136,095517;547,1332457;295,3998285;8,107552657;31,89999962;3,332179695;2,489688574;23,90402;11,02089967
8,46555233;3147,06852;550,7109003;292,1544106;8,113425066;31,89999962;3,258771091;2,502089833;23,90402;10,70998756
8,465901735;3162,801796;551,6356849;292,3050749;8,125368394;31,89999962;3,330640308;2,514855587;24,01701364;10,33604537
8,465905244;3163,238625;549,5355213;296,2112915;8,129803182;31,89999962;3,301757338;2,520071853;24,0375366;10,00858134
8,46555233;3174,605164;541,4895389;295,8188957;8,128974287;31,89999962;3,259465549;2,522462001;24,0375366;10,05310208
8,466252894;3166,574717;533,862309;293,7680043;8,120548977;31,89999962;3,254132057;2,518957335;24,0375366;10,11462857
8,466254473;3192,470571;521,6423697;298,5308088;8,110929984;31,89999962;3,093935617;2,530299146;24,0375366;10,61094352
8,465903138;3185,936695;519,2830785;297,8292978;8,10003829;31,89999962;3,064280779;2,535141673;24,0375366;10,72679282
8,458025742;3201,42442;515,4327854;303,0901011;8,087321947;31,89999962;3,095218278;2,533554987;24,0375366;10,68469948
8,454108238;3190,37633;516,7842169;309,2925772;8,075249334;31,89999962;3,166028104;2,529375003;24,0375366;10,81684169
