;"RIS-QI01_TT";"IPU-FB18";"SAN3-FB01";"ANL1-QI02";"ANL1-QI01";"SAN3-ML01";"POL_FT04";"IPU_LT01";"SED5-QI11";"SED5-QI01"
"20.02.2023";-0,3514894;-0,3217453;-0,344387;-0,4358703;-0,5201159;-0,3139454;-0,4654735;-0,4900527;-0,390499;-0,5766916
"20.02.2023";-0,3467895;-0,3178287;-0,3086729;-0,4049865;-0,4926637;-0,2869973;-0,4215112;-0,4720605;-0,3617656;-0,5380843
"20.02.2023";-0,2957393;-0,2752869;-0,249019;-0,3554891;-0,448666;-0,2443304;-0,3892625;-0,4547127;-0,3498163;-0,5185963
"20.02.2023";-0,1640115;-0,1655138;-0,05902578;-0,1880652;-0,2998448;-0,09938721;-0,2195316;-0,3683273;-0,2533104;-0,3954156
"20.02.2023";-0,09938068;-0,1116547;0,0425457;-0,09905494;-0,2207245;-0,0101116;-0,1279283;-0,2984807;-0,1827788;-0,3045432
"20.02.2023";-0,1709626;-0,1713063;-0,02054541;-0,1571652;-0,2723781;-0,05631444;-0,1676445;-0,3057453;-0,196131;-0,3183389
"20.02.2023";-0,391718;-0,3552691;-0,3216916;-0,424884;-0,5103503;-0,2999514;-0,4457625;-0,4791567;-0,3819521;-0,5396606
"20.02.2023";-0,42292;-0,3812708;-0,3913662;-0,4923697;-0,5703377;-0,3572099;-0,5129442;-0,5334671;-0,4449162;-0,6144749
"20.02.2023";-0,4966298;-0,4426956;-0,4822562;-0,5769855;-0,6455517;-0,3762038;-0,5214992;-0,5099418;-0,4174826;-0,5778174
"20.02.2023";-0,5730027;-0,5063397;-0,5477864;-0,6431321;-0,7043487;-0,2717401;-0,3802931;-0,335941;-0,2003809;-0,3153093
"20.02.2023";-0,603676;-0,5319008;-0,5719783;-0,669132;-0,7265477;-0,2045728;-0,277361;-0,2289132;-0,07112318;-0,1656721
"20.02.2023";-0,6207089;-0,5460949;-0,5638019;-0,6684303;-0,7248161;-0,356225;-0,4245755;-0,4285255;-0,2826551;-0,422582
"20.02.2023";-0,5739172;-0,5071018;-0,4827686;-0,5979022;-0,6621245;-0,3818526;-0,4438666;-0,4914664;-0,352599;-0,5153412
"20.02.2023";-0,499122;-0,4447725;-0,3836732;-0,5103341;-0,5842862;-0,3476946;-0,4056719;-0,5013583;-0,3529424;-0,5313357
"20.02.2023";-0,3063756;-0,2841505;-0,1054539;-0,2669543;-0,3680731;-0,153802;-0,1844067;-0,3858072;-0,2154258;-0,3778004
"20.02.2023";-0,2766897;-0,2594122;-0,04581007;-0,2126583;-0,3196855;-0,1034491;-0,1249175;-0,3252455;-0,1558228;-0,3216118
"20.02.2023";-0,379113;-0,344765;-0,1801578;-0,3255057;-0,4199943;-0,1865428;-0,2321512;-0,3516934;-0,1875665;-0,3719851
"20.02.2023";-0,5189165;-0,4612679;-0,4197094;-0,5310606;-0,6027098;-0,3818723;-0,4626636;-0,4977825;-0,3628416;-0,5873319
"20.02.2023";-0,5566192;-0,4926868;-0,5098543;-0,6046708;-0,6681411;-0,448049;-0,5529724;-0,5465941;-0,427673;-0,6724069
"20.02.2023";-0,5672729;-0,5015649;-0,5838404;-0,6693843;-0,7256642;-0,483023;-0,6034746;-0,5592466;-0,4714919;-0,7278821
"20.02.2023";-0,5609728;-0,4963148;-0,604583;-0,6860298;-0,7398741;-0,5083539;-0,6570757;-0,595237;-0,5193028;-0,7837597
"20.02.2023";-0,5655937;-0,5001655;-0,6192735;-0,6946301;-0,7474236;-0,5312105;-0,6846111;-0,6263862;-0,5596695;-0,8238646
"20.02.2023";-0,507465;-0,451725;-0,5679561;-0,6519458;-0,7091894;-0,5021486;-0,6774027;-0,6349034;-0,5721058;-0,8295173
"20.02.2023";-0,4777845;-0,4269913;-0,5110383;-0,6002685;-0,663254;-0,4503008;-0,6103577;-0,5936394;-0,5322104;-0,7692841
"20.02.2023";-0,3837075;-0,3485937;-0,3819627;-0,4870054;-0,5625757;-0,3412279;-0,4949483;-0,5103029;-0,4571427;-0,6668199
"20.02.2023";-0,3039249;-0,2821082;-0,2758959;-0,4000841;-0,4856051;-0,2626091;-0,4048039;-0,4625322;-0,4148815;-0,6058015
"20.02.2023";-0,2317014;-0,2219219;-0,128447;-0,2786389;-0,3774994;-0,150731;-0,2452687;-0,3802507;-0,3197185;-0,477538
"20.02.2023";-0,0803034;-0,09575697;0,1268864;-0,06268625;-0,1854109;0,04799302;0,002561897;-0,2191381;-0,1596018;-0,2685397
"20.02.2023";-0,4085882;-0,3693276;-0,2851936;-0,4309706;-0,512767;-0,2808389;-0,3446012;-0,4064344;-0,3938245;-0,5326878
"20.02.2023";-0,4966373;-0,4427019;-0,3862427;-0,5221006;-0,5937714;-0,3750764;-0,4120048;-0,4675226;-0,4687769;-0,6153693
"20.02.2023";-0,5569398;-0,492954;-0,4597707;-0,5826009;-0,6493043;-0,4333977;-0,4842135;-0,5224301;-0,5059497;-0,6600282
"20.02.2023";-0,6155909;-0,5418298;-0,5446042;-0,6535855;-0,7144702;-0,5119638;-0,5764835;-0,5994866;-0,5749028;-0,7445838
"20.02.2023";-0,6388616;-0,5612221;-0,5788047;-0,6789839;-0,7370465;-0,5314777;-0,6111966;-0,6171461;-0,5758173;-0,7530431
"20.02.2023";-0,6265618;-0,5509723;-0,5789509;-0,6729687;-0,7316997;-0,5303335;-0,6327093;-0,6300272;-0,5736618;-0,7652479
